ID_remetente,ID_destinatario,Valor,DataHora
1,2,100.00,31/08/2026 21:13:25
2,3,75.50,31/08/2026 21:13:25
3,4,120.00,31/08/2026 21:13:25
4,5,50.00,31/08/2026 21:13:25
5,6,200.00,31/08/2026 21:13:25
6,7,35.75,31/08/2026 21:13:25
7,8,180.00,31/08/2026 21:13:25
8,9,90.00,31/08/2026 21:13:25
9,10,250.00,31/08/2026 21:13:25
10,11,60.00,31/08/2026 21:13:25
11,12,140.00,31/08/2026 21:13:25
12,13,80.00,31/08/2026 21:13:25
13,14,300.00,31/08/2026 21:13:25
14,15,45.00,31/08/2026 21:13:25
15,16,110.00,31/08/2026 21:13:25
16,17,70.00,31/08/2026 21:13:25
17,18,95.00,31/08/2026 21:13:25
18,19,125.00,31/08/2026 21:13:25
19,20,55.00,31/08/2026 21:13:25
20,21,160.00,31/08/2026 21:13:25
21,22,85.00,31/08/2026 21:13:25
22,23,130.00,31/08/2026 21:13:25
23,24,40.00,31/08/2026 21:13:25
24,25,210.00,31/08/2026 21:13:25
25,26,65.00,31/08/2026 21:13:25
26,27,150.00,31/08/2026 21:13:25
27,28,100.00,31/08/2026 21:13:25
28,29,175.00,31/08/2026 21:13:25
29,30,90.00,31/08/2026 21:13:25
30,31,220.00,31/08/2026 21:13:25
31,32,55.00,31/08/2026 21:13:25
32,33,145.00,31/08/2026 21:13:25
33,34,80.00,31/08/2026 21:13:25
34,35,190.00,31/08/2026 21:13:25
35,36,125.00,31/08/2026 21:13:25
